         55632 function calls (53686 primitive calls) in 7.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:713(format)
        1    0.000    0.000    0.000    0.000 random.py:800(SystemRandom)
        5    0.000    0.000    0.000    0.000 datastructures.py:2405(auth_property)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
       49    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 wsgi.py:887(LimitedStream)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       38    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        4    0.000    0.000    0.000    0.000 config.py:27(__get__)
        1    0.000    0.000    0.000    0.000 datastructures.py:643(OrderedMultiDict)
       15    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 helpers.py:619(get_root_path)
       24    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tbtools.py:365(Frame)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 helpers.py:729(_PackageBoundObject)
        1    0.000    0.000    0.000    0.000 latin_1.py:41(getregentry)
        5    0.000    0.000    0.000    0.000 datastructures.py:225(calls_update)
        1    0.000    0.000    0.000    0.000 urls.py:39(_URLMixin)
        1    0.000    0.000    0.000    0.000 tempfile.py:501(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 mimetypes.py:56(MimeTypes)
        1    0.000    0.000    0.000    0.000 datastructures.py:1506(Accept)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        5    0.000    0.000    0.000    0.000 datastructures.py:48(native_itermethods)
        2    0.000    0.000    0.000    0.000 __init__.py:1110(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:294(LRUCache)
        2    0.000    0.000    0.000    0.000 socket.py:223(meth)
        2    0.000    0.000    0.000    0.000 random.py:91(__init__)
        2    0.000    0.000    0.000    0.000 local.py:115(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1303(callHandlers)
        1    0.000    0.000    0.000    0.000 urlparse.py:73(ResultMixin)
        1    0.000    0.000    0.000    0.000 _compat.py:50(implements_to_string)
        3    0.000    0.000    0.000    0.000 dyld.py:56(dyld_library_path)
        4    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 hex_codec.py:27(hex_decode)
        1    0.000    0.000    0.000    0.000 __init__.py:1384(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 sessions.py:134(SessionInterface)
        1    0.000    0.000    0.000    0.000 __init__.py:881(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:998(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 SocketServer.py:358(TCPServer)
        2    0.000    0.000    0.000    0.000 posixpath.py:104(splitext)
        1    0.000    0.000    0.000    0.000 threading.py:124(_RLock)
        1    0.000    0.000    0.000    0.000 subprocess.py:1160(pipe_cloexec)
        1    0.000    0.000    0.000    0.000 urllib.py:116(URLopener)
        1    0.000    0.000    0.000    0.000 threading.py:399(notifyAll)
        1    0.000    0.000    0.000    0.000 hex_codec.py:70(getregentry)
        1    0.000    0.000    0.000    0.000 sessions.py:119(NullSession)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:247(Signer)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        2    0.000    0.000    0.000    0.000 __init__.py:736(handle)
        1    0.000    0.000    0.000    0.000 _internal.py:170(_DictAccessorProperty)
        1    0.000    0.000    0.000    0.000 optimizer.py:30(Optimizer)
        2    0.000    0.000    0.000    0.000 posixpath.py:350(abspath)
        1    0.000    0.000    0.000    0.000 datastructures.py:1851(ResponseCacheControl)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        1    0.000    0.000    0.000    0.000 datastructures.py:1290(CombinedMultiDict)
        1    0.000    0.000    0.000    0.000 exceptions.py:74(HTTPException)
        2    0.000    0.000    0.000    0.000 _compat.py:23(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:100(SSLSocket)
        5    0.000    0.000    0.000    0.000 repr.py:114(_sequence_repr_maker)
        1    0.000    0.000    0.000    0.000 tbtools.py:171(Line)
        1    0.000    0.000    0.000    0.000 compiler.py:271(FrameIdentifierVisitor)
        1    0.000    0.000    0.000    0.000 socket.py:192(close)
        1    0.000    0.000    0.000    0.000 __init__.py:655(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:575(set)
        1    0.000    0.000    0.000    0.000 lexer.py:225(Token)
        1    0.000    0.000    0.000    0.000 runtime.py:441(Undefined)
        1    0.000    0.000    0.000    0.000 random.py:650(WichmannHill)
        3    0.000    0.000    0.000    0.000 dyld.py:48(dyld_image_suffix)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:451(Serializer)
        1    0.000    0.000    0.000    0.000 console.py:146(_InteractiveConsole)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        2    0.000    0.000    0.000    0.000 {posix.getpid}
        8    0.000    0.000    0.000    0.000 filters.py:46(environmentfilter)
        4    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:117(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        1    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
        1    0.000    0.000    0.000    0.000 threading.py:551(_Event)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:358(TimestampSigner)
        1    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
        1    0.000    0.000    0.000    0.000 lexer.py:289(TokenStream)
        1    0.000    0.000    0.000    0.000 environment.py:1062(TemplateModule)
        1    0.000    0.000    0.000    0.000 exceptions.py:240(MethodNotAllowed)
        3    0.000    0.000    0.000    0.000 wrappers.py:1720(_set_property)
        1    0.000    0.000    0.000    0.000 threading.py:560(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:573(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Handler)
        1    0.000    0.000    0.000    0.000 formparser.py:281(MultiPartParser)
        1    0.000    0.000    0.000    0.000 __init__.py:1008(getLogger)
        2    0.000    0.000    0.000    0.000 _compat.py:105(__new__)
        4    0.000    0.000    0.000    0.000 __init__.py:598(filter)
        1    0.000    0.000    0.000    0.000 app.py:600(make_config)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(Logger)
        1    0.000    0.000    0.000    0.000 posixpath.py:89(split)
        2    0.000    0.000    0.000    0.000 __init__.py:153(getLevelName)
        1    0.000    0.000    0.000    0.000 config.py:83(__init__)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:993(Manager)
        1    0.000    0.000    0.000    0.000 {gc.enable}
        1    0.000    0.000    0.000    0.000 threading.py:56(_Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:66(__init__)
        1    0.000    0.000    0.000    0.000 urllib2.py:311(OpenerDirector)
       15    0.000    0.000    0.000    0.000 threading.py:63(_note)
        4    0.000    0.000    0.000    0.000 datastructures.py:2223(_callback_property)
        1    0.000    0.000    0.000    0.000 code.py:28(InteractiveInterpreter)
        1    0.000    0.000    0.000    0.000 formparser.py:112(FormDataParser)
        1    0.000    0.000    0.000    0.000 threading.py:1058(_Timer)
        2    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 itsdangerous.py:725(TimedJSONWebSignatureSerializer)
        2    0.000    0.000    0.000    0.000 subprocess.py:1147(_set_cloexec_flag)
        1    0.000    0.000    0.000    0.000 datastructures.py:1458(copy)
        2    0.000    0.000    0.001    0.000 routing.py:588(bind)
        4    0.000    0.000    0.000    0.000 __init__.py:693(acquire)
        1    0.000    0.000    0.000    0.000 sessions.py:28(SessionMixin)
        1    0.000    0.000    0.000    0.000 urllib.py:610(FancyURLopener)
        1    0.000    0.000    0.000    0.000 filters.py:705(_GroupTuple)
        1    0.000    0.000    0.000    0.000 SocketServer.py:671(StreamRequestHandler)
        1    0.000    0.000    0.000    0.000 helpers.py:731(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1550(getLogger)
        5    0.000    0.000    0.000    0.000 filters.py:27(contextfilter)
        2    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        3    0.000    0.000    0.000    0.000 _compat.py:42(implements_iterator)
        2    0.000    0.000    0.000    0.000 __init__.py:451(format)
        1    0.000    0.000    0.000    0.000 {signal.signal}
        1    0.000    0.000    0.000    0.000 exceptions.py:44(TemplateNotFound)
        1    0.000    0.000    0.001    0.001 urllib2.py:827(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 exceptions.py:191(SecurityError)
        1    0.000    0.000    0.000    0.000 urllib.py:949(addbase)
        3    0.000    0.000    0.000    0.000 dyld.py:62(dyld_fallback_library_path)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.000    0.000    0.000    0.000 helpers.py:765(has_static_folder)
        1    0.000    0.000    0.000    0.000 urllib2.py:197(Request)
        1    0.000    0.000    0.000    0.000 templating.py:49(DispatchingJinjaLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:1237(makeRecord)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        1    0.000    0.000    0.000    0.000 wrappers.py:1474(ResponseStream)
        2    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        7    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 datastructures.py:136(ImmutableDictMixin)
        7    0.000    0.000    0.000    0.000 config.py:23(__init__)
        1    0.000    0.000    0.000    0.000 datastructures.py:1831(RequestCacheControl)
        1    0.000    0.000    0.000    0.000 __init__.py:1376(__init__)
        1    0.000    0.000    0.000    0.000 {posix.sysconf}
       20    0.000    0.000    0.000    0.000 {thread.get_ident}
        4    0.000    0.000    0.000    0.000 lexer.py:228(<genexpr>)
        1    0.000    0.000    0.000    0.000 loaders.py:312(PrefixLoader)
        3    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:564(__init__)
        1    0.000    0.000    0.000    0.000 mimetools.py:20(Message)
        2    0.000    0.000    0.000    0.000 __init__.py:81(<lambda>)
        3    0.000    0.000    0.000    0.000 warnings.py:355(__exit__)
        1    0.000    0.000    0.000    0.000 module.py:22(Module)
        1    0.000    0.000    0.000    0.000 runtime.py:253(BlockReference)
        1    0.000    0.000    0.000    0.000 security.py:130(gen_salt)
        1    0.000    0.000    0.000    0.000 datastructures.py:1719(CharsetAccept)
        1    0.000    0.000    0.000    0.000 urllib2.py:150(HTTPError)
        2    0.000    0.000    0.000    0.000 __init__.py:445(usesTime)
        1    0.000    0.000    0.000    0.000 datastructures.py:1878(CallbackDict)
        1    0.000    0.000    0.000    0.000 helpers.py:754(_get_static_url_path)
        1    0.000    0.000    0.000    0.000 {_json.encode_basestring_ascii}
        2    0.000    0.000    0.000    0.000 __init__.py:1271(handle)
        1    0.000    0.000    0.000    0.000 loaders.py:411(ModuleLoader)
        1    0.000    0.000    0.000    0.000 nodes.py:107(Node)
        3    0.000    0.000    0.000    0.000 itsdangerous.py:237(__init__)
        1    0.000    0.000    0.000    0.000 nodes.py:522(CondExpr)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        9    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {_struct.unpack}
        2    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
        1    0.000    0.000    0.000    0.000 nodes.py:286(If)
        2    0.000    0.000    0.000    0.000 tokenize.py:46(maybe)
        1    0.000    0.000    0.000    0.000 bccache.py:111(BytecodeCache)
        1    0.000    0.000    0.000    0.000 threading.py:789(_set_ident)
        1    0.000    0.000    0.000    0.000 environment.py:1107(TemplateStream)
        1    0.000    0.000    0.000    0.000 httplib.py:325(HTTPResponse)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.000    0.000    0.000    0.000 utils.py:479(Cycler)
        1    0.000    0.000    0.000    0.000 __init__.py:35(DebuggedApplication)
        1    0.000    0.000    0.000    0.000 _compat.py:32(fix_tuple_repr)
        1    0.000    0.000    0.000    0.000 encoder.py:101(__init__)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:169(SignatureExpired)
        1    0.000    0.000    0.000    0.000 pkgutil.py:441(get_loader)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        1    0.000    0.000    0.000    0.000 exceptions.py:137(SecurityError)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 sessions.py:272(SecureCookieSessionInterface)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:70(JSONEncoder)
        2    0.000    0.000    0.000    0.000 __init__.py:1343(isEnabledFor)
        3    0.000    0.000    0.000    0.000 helpers.py:746(_get_static_folder)
        1    0.000    0.000    0.000    0.000 security.py:32(<genexpr>)
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
        1    0.000    0.000    0.000    0.000 wsgi.py:416(SharedDataMiddleware)
        4    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 compiler.py:1421(binop)
        2    0.000    0.000    0.000    0.000 sre_parse.py:128(__delitem__)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:172(AddrlistClass)
        1    0.000    0.000    0.000    0.000 __init__.py:1281(addHandler)
        1    0.000    0.000    0.000    0.000 rfc822.py:496(AddrlistClass)
        1    0.000    0.000    0.000    0.000 compiler.py:138(Frame)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 SocketServer.py:480(UDPServer)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_MarkupEscapeHelper)
        1    0.000    0.000    0.000    0.000 urllib2.py:932(AbstractDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 _compat.py:57(implements_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:1054(_fixupParents)
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 routing.py:604(get_converter)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:230(HMACAlgorithm)
        1    0.000    0.000    0.000    0.000 subprocess.py:1098(_get_handles)
        2    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:636(_addHandlerRef)
        4    0.000    0.000    0.000    0.000 local.py:287(__init__)
        6    0.000    0.000    0.000    0.000 dyld.py:34(ensure_utf8)
        2    0.000    0.000    0.000    0.000 posixpath.py:59(isabs)
        1    0.000    0.000    0.000    0.000 local.py:168(LocalManager)
        1    0.000    0.000    0.000    0.000 urllib.py:854(ftpwrapper)
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 threading.py:541(Event)
        1    0.000    0.000    0.000    0.000 {binascii.a2b_hex}
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:100(BadData)
        1    0.000    0.000    0.000    0.000 config.py:39(Config)
        1    0.000    0.000    0.000    0.000 console.py:23(HTMLStringO)
        3    0.000    0.000    0.000    0.000 dyld.py:65(dyld_image_suffix_search)
        1    0.000    0.000    0.000    0.000 hmac.py:20(HMAC)
        1    0.000    0.000    0.000    0.000 threading.py:254(_Condition)
        1    0.000    0.000    0.000    0.000 _compat.py:52(native_string_result)
        4    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:372(notify)
        1    0.000    0.000    0.000    0.000 signals.py:21(_FakeSignal)
        6    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 bccache.py:189(FileSystemBytecodeCache)
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.000    0.000 ctx.py:145(AppContext)
        1    0.000    0.000    0.000    0.000 app.py:1011(decorator)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        2    0.000    0.000    0.000    0.000 utils.py:151(__init__)
        1    0.000    0.000    0.000    0.000 datastructures.py:1656(MIMEAccept)
        1    0.000    0.000    0.000    0.000 threading.py:422(_Semaphore)
        1    0.000    0.000    0.000    0.000 wrappers.py:1513(ResponseStreamMixin)
        1    0.000    0.000    0.000    0.000 datastructures.py:66(ImmutableListMixin)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:452(AddressList)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 datastructures.py:215(UpdateDictMixin)
        1    0.000    0.000    0.000    0.000 exceptions.py:14(TemplateError)
        1    0.000    0.000    0.000    0.000 app.py:614(auto_find_instance_path)
        4    0.000    0.000    0.000    0.000 __init__.py:700(release)
        1    0.000    0.000    0.000    0.000 datastructures.py:1894(HeaderSet)
        2    0.000    0.000    0.000    0.000 datastructures.py:2422(_set_property)
        4    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 httplib.py:1059(HTTP)
        1    0.000    0.000    0.000    0.000 wrappers.py:1758(WWWAuthenticateMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:193(dumps)
        1    0.000    0.000    0.000    0.000 weakref.py:243(__init__)
        1    0.000    0.000    0.000    0.000 urlparse.py:128(ParseResult)
        1    0.000    0.000    0.000    0.000 local.py:50(Local)
        1    0.000    0.000    0.000    0.000 exceptions.py:80(TemplateSyntaxError)
        1    0.000    0.000    0.000    0.000 nodes.py:430(Const)
        1    0.000    0.000    0.000    0.000 runtime.py:356(LoopContextIterator)
        1    0.000    0.000    0.000    0.000 nodes.py:806(ExtensionAttribute)
        1    0.000    0.000    0.000    0.000 urllib2.py:137(URLError)
        1    0.000    0.000    0.000    0.000 loaders.py:282(FunctionLoader)
        1    0.000    0.000    0.000    0.000 exceptions.py:127(TemplateRuntimeError)
        1    0.000    0.000    0.000    0.000 urllib2.py:753(HTTPPasswordMgr)
        1    0.000    0.000    0.000    0.000 nodes.py:326(FromImport)
        1    0.000    0.000    0.000    0.000 exceptions.py:372(UnsupportedMediaType)
        1    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 datastructures.py:1446(ImmutableDict)
        1    0.000    0.000    0.000    0.000 sessions.py:109(SecureCookieSession)
        1    0.000    0.000    0.000    0.000 debughelpers.py:44(FormDataRoutingRedirect)
        1    0.000    0.000    0.000    0.000 nodes.py:772(Or)
        1    0.000    0.000    0.000    0.000 SocketServer.py:621(ThreadingUnixStreamServer)
        2    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 latin_1.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 exceptions.py:457(TooManyRequests)
        1    0.000    0.000    0.000    0.000 httplib.py:218(HTTPMessage)
        1    0.000    0.000    0.000    0.000 latin_1.py:13(Codec)
        1    0.000    0.000    0.000    0.000 wsgi.py:642(ClosingIterator)
        1    0.000    0.000    0.000    0.000 urllib.py:110(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 datastructures.py:185(ImmutableMultiDictMixin)
        1    0.000    0.000    0.000    0.000 wrappers.py:1310(UserAgentMixin)
        1    0.000    0.000    0.000    0.000 utils.py:545(ArgumentValidationError)
        1    0.000    0.000    0.000    0.000 nodes.py:76(EvalContext)
        1    0.000    0.000    0.000    0.000 tokenize.py:145(TokenError)
        1    0.000    0.000    0.000    0.000 latin_1.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 console.py:195(Console)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:784(URLSafeSerializerMixin)
        1    0.000    0.000    0.000    0.000 threading.py:1088(_MainThread)
        1    0.000    0.000    0.000    0.000 wrappers.py:1773(Request)
        1    0.000    0.000    0.000    0.000 subprocess.py:458(_cleanup)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 urls.py:211(URL)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:43(_CompactJSON)
        1    0.000    0.000    0.000    0.000 exceptions.py:143(FilterArgumentError)
        1    0.000    0.000    0.000    0.000 nodes.py:391(UnaryExpr)
        1    0.000    0.000    0.000    0.000 SocketServer.py:579(ThreadingMixIn)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 httplib.py:1235(IncompleteRead)
        1    0.000    0.000    0.000    0.000 loaders.py:260(DictLoader)
        3    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 exceptions.py:485(InternalServerError)
        1    0.000    0.000    0.000    0.000 nodes.py:584(Test)
        1    0.000    0.000    0.000    0.000 blueprints.py:17(BlueprintSetupState)
        1    0.000    0.000    0.000    0.000 urllib2.py:710(ProxyHandler)
        1    0.000    0.000    0.000    0.000 httplib.py:1218(NotConnected)
        1    0.000    0.000    0.000    0.000 routing.py:385(RuleTemplateFactory)
        1    0.000    0.000    0.000    0.000 routing.py:956(FloatConverter)
        1    0.000    0.000    0.000    0.000 routing.py:359(RuleTemplate)
        1    0.000    0.000    0.000    0.000 urllib2.py:1360(FTPHandler)
        1    0.000    0.000    0.000    0.000 lexer.py:402(Lexer)
        1    0.000    0.000    0.000    0.000 serving.py:399(BaseWSGIServer)
        1    0.000    0.000    0.000    0.000 _compat.py:57(<lambda>)
        1    0.000    0.000    0.000    0.000 UserDict.py:39(keys)
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 nodes.py:791(Pos)
        1    0.000    0.000    0.000    0.000 __init__.py:536(Filter)
        1    0.000    0.000    0.000    0.000 sessions.py:55(TaggedJSONSerializer)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 nodes.py:55(Impossible)
        1    0.000    0.000    0.000    0.000 urls.py:255(BytesURL)
        1    0.000    0.000    0.000    0.000 tokenize.py:147(StopTokenizing)
        1    0.000    0.000    0.000    0.000 nodes.py:311(Block)
        1    0.000    0.000    0.000    0.000 hex_codec.py:52(IncrementalEncoder)
        3    0.000    0.000    0.000    0.000 posixpath.py:51(normcase)
        1    0.000    0.000    0.000    0.000 datastructures.py:1414(FileMultiDict)
        1    0.000    0.000    0.000    0.000 httplib.py:1180(HTTPS)
        1    0.000    0.000    0.000    0.000 httplib.py:1155(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 console.py:118(_ConsoleLoader)
        1    0.000    0.000    0.000    0.000 routing.py:895(PathConverter)
        2    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 datastructures.py:121(ImmutableList)
        1    0.000    0.000    0.000    0.000 _internal.py:57(_Missing)
        1    0.000    0.000    0.000    0.000 subprocess.py:400(CalledProcessError)
        1    0.000    0.000    0.000    0.000 urllib2.py:890(HTTPBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        4    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 nodes.py:799(EnvironmentAttribute)
        1    0.000    0.000    0.000    0.000 utils.py:76(environ_property)
        1    0.000    0.000    0.000    0.000 wsgi.py:610(DispatcherMiddleware)
        1    0.000    0.000    0.000    0.000 sre_parse.py:85(checkgroup)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:599(TimedSerializer)
        1    0.000    0.000    0.000    0.000 urllib2.py:1090(ProxyDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 routing.py:236(RequestSlash)
        1    0.000    0.000    0.000    0.000 __init__.py:684(createLock)
        1    0.000    0.000    0.000    0.000 urlparse.py:120(SplitResult)
        1    0.000    0.000    0.000    0.000 _compat.py:102(metaclass)
        1    0.000    0.000    0.000    0.000 wrappers.py:175(Response)
        1    0.000    0.000    0.000    0.000 exceptions.py:472(RequestHeaderFieldsTooLarge)
        1    0.000    0.000    0.000    0.000 datastructures.py:1209(ImmutableHeadersMixin)
        1    0.000    0.000    0.000    0.000 helpers.py:703(locked_cached_property)
        1    0.000    0.000    0.000    0.000 urllib2.py:1420(CacheFTPHandler)
        1    0.000    0.000    0.000    0.000 httplib.py:1252(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 datastructures.py:1469(ImmutableMultiDict)
        1    0.000    0.000    0.000    0.000 nodes.py:246(Stmt)
        1    0.000    0.000    0.000    0.000 routing.py:830(BaseConverter)
        1    0.000    0.000    0.000    0.000 SocketServer.py:618(UnixDatagramServer)
        1    0.000    0.000    0.000    0.000 nodes.py:372(BinExpr)
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 signals.py:17(Namespace)
        1    0.000    0.000    0.000    0.000 exceptions.py:439(PreconditionRequired)
        1    0.000    0.000    0.000    0.000 httplib.py:1213(HTTPException)
        1    0.000    0.000    0.000    0.000 urls.py:797(Href)
        1    0.000    0.000    0.000    0.000 __init__.py:1122(setLevel)
        1    0.000    0.000    0.000    0.000 SocketServer.py:615(UnixStreamServer)
        1    0.000    0.000    0.000    0.000 datastructures.py:259(TypeConversionDict)
        1    0.000    0.000    0.000    0.000 routing.py:334(EndpointPrefix)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        2    0.000    0.000    0.000    0.000 __init__.py:1329(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 helpers.py:56(_endpoint_from_view_func)
        1    0.000    0.000    0.000    0.000 httplib.py:1249(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:829(URLSafeTimedSerializer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:610(ThreadingUDPServer)
        1    0.000    0.000    0.000    0.000 exceptions.py:499(NotImplemented)
        1    0.000    0.000    0.000    0.000 bank.py:2(__init__)
        1    0.000    0.000    0.000    0.000 httplib.py:1224(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 bccache.py:59(Bucket)
        1    0.000    0.000    0.000    0.000 calendar.py:536(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 nodes.py:453(TemplateData)
        1    0.000    0.000    0.000    0.000 rfc822.py:770(AddressList)
        1    0.000    0.000    0.000    0.000 hex_codec.py:45(Codec)
        1    0.000    0.000    0.000    0.000 exceptions.py:282(RequestTimeout)
        1    0.000    0.000    0.000    0.000 nodes.py:758(Pow)
